Record_ID,Accounting_Year,Accounting_Quarter,Accounting_Month,Accounting_Period,Underwriting_Year,Accident_Year,Booking_Date,Region,Market_Unit,Country,Business_Segment,Main_Line_of_Business,Line_of_Business,Type_of_Business,Cedent_ID,Cedent_Name,Broker,Client_Management_ID,Client_Manager,UW_Portfolio,Client_Executive,IFRS_Classification,PCSS_Type,P_Zero_Flag,Renewal_Category,Direction_of_Business,Premium,Claims,Commission,Expenses,Technical_Result,Net_Premium,Loss_Ratio,Expense_Ratio,Combined_Ratio
FIN00035514,2025,Q3,9,2025-09,2025,2025,23-09-2025,Asia,India,India,REPC,Specialty,Cyber,Direct Insurance,CED0023,Delta Assurance,Cornerstone Risk Partners,CM1410,Kevin Iversen,Property Facultative,Karen Vasquez,101,Trust,Yes,New Business,Inward,937676.7,328186.85,72785.96,62569.91,474133.99,864890.74,0.35,0.0667,0.4167
FIN00000276,2023,Q2,5,2023-05,2023,2023,01-05-2023,Americas,Canada,Canada,REPC,Casualty,Accident & Health,Non-Property Treaty,CED0045,Harbor Insurance,Cornerstone Risk Partners,CM1968,Fatima Costa,Construction,Richard Thornton,101,Non Trust,No,Renewal,Inward,172708.43,109204.21,21692.76,10723.21,31088.24,151015.66,0.6323,0.0621,0.6944
FIN00008239,2024,Q3,9,2024-09,2024,2024,21-09-2024,Asia,Singapore,Singapore,REPC,Property,Energy,Direct Insurance,CED0102,Sterling Re,,CM4481,Nadia Kowalski,Workers Comp National,George Simmons,101,Trust,No,Renewal,Inward,2794095.61,1645341.92,366546.11,63603.24,718604.34,2427549.51,0.5889,0.0228,0.6116
FIN00024775,2024,Q1,1,2024-01,2024,2024,14-01-2024,Asia,ANZ,Australia,REPC,P&C Re,Agriculture,Non-Property Treaty,CED0079,Paramount Indemnity,Pinnacle Re Solutions,CM6402,Robert Muller,Space & Satellite,Henry Cartwright,102,Trust,Yes,Renewal,Inward,230472.79,126059.87,39458.54,5947.33,59007.05,191014.25,0.547,0.0258,0.5728
FIN00009897,2023,Q4,10,2023-10,2023,2023,31-10-2023,EMEA,Nordics,Sweden,REPC,Casualty,Accident & Health,Non-Property Treaty,CED0108,Trident Underwriters,,CM7896,James Chen,Construction & Engineering EMEA,Monica Petrov,101,Trust,No,New Business,Inward,224828.8,138164.01,38722.41,,21905.05,186106.39,0.6145,0.1158,0.7303
FIN00048301,2025,Q3,7,2025-07,2025,2025,17-07-2025,Asia,Japan,Japan,REPC,Casualty,Accident & Health,Direct Insurance,CED0114,Westfield Holdings,Lockwood Risk Solutions,CM7351,Yuki Marchetti,Financial Risk,Frank Callahan,101,Non Trust,No,Renewal,Inward,61263.4,30737.7,7475.94,3038.44,20011.32,53787.46,0.5017,0.0496,0.5513
FIN00039026,2023,Q4,10,2023-10,2023,2022,22-10-2023,EMEA,Middle East,United Arab Emirates,REPC,P&C Re,Energy,Property Treaty,CED0070,Northstar Assurance,Highbridge Risk Solutions,CM2773,Peter Nakamura,Trade Credit & Surety,Richard Thornton,102,Non Trust,No,New Business,Inward,275376.16,174356.69,35456.8,32876.73,32685.93,239919.35,0.6332,0.1194,0.7525
FIN00038998,2024,Q2,6,2024-06,2024,2022,29-06-2024,Americas,US,United States,REPC,Casualty,Accident & Health,Direct Insurance,CED0102,Sterling Re,Northgate Insurance Services,CM5663,Kevin Iversen,Space & Satellite,Monica Petrov,201,Trust,Yes,Renewal,Inward,71958.26,42835.66,12000.15,6669.25,10453.2,59958.11,0.5953,0.0927,0.688
FIN00042191,2026,Q1,1,2026-01,2026,2026,06-01-2026,Americas,Canada,Canada,REPC,P&C Re,Motor,Non-Property Treaty,CED0031,Falcon Insurance Group,Farringdon Risk Partners,CM5240,David Marchetti,Liability Excess,Anjali Verma,102,Trust,No,Cancelled,Inward,197224.74,141766.62,23014.85,11807.44,20635.83,174209.89,0.7188,0.0599,0.7787
FIN00018641,2023,Q3,7,2023-07,2023,2023,08-07-2023,Asia,ANZ,Australia,REPC,Vector,Agriculture,Non-Property Treaty,CED0023,Delta Assurance,Northgate & Associates,CM8960,Hana Bianchi,Space & Satellite,Monica Petrov,101,Non Trust,No,Renewal,Inward,821299.1,410762.02,98283.76,27696.27,284557.04,723015.33,0.5001,0.0337,0.5339
FIN00035870,2023,Q4,10,2023-10,2022,2022,24-10-2023,Americas,Canada,Canada,REPC,Specialty,Surety,Direct Insurance,CED0058,Landmark Indemnity,Vantage Group,CM4931,Laura Nkosi,Space & Satellite,Susanna Ibsen,201,Non Trust,No,Renewal,Outward,945164.24,385758.57,91340.48,64410.8,403654.38,853823.75,0.4081,0.0681,0.4763
FIN00043715,2026,Q2,4,2026-04,2026,2026,14-04-2026,EMEA,Middle East,United Arab Emirates,REPC,Property,Property,Direct Insurance,CED0038,Global Re,Fairview Risk Solutions,CM5191,Sarah Bauer,Workers Comp National,Susanna Ibsen,102,Non Trust,No,Cancelled,Inward,39978.12,23108.49,7641.24,2220.46,7007.93,32336.88,0.578,0.0555,0.6336
FIN00040451,2023,Q1,2,2023-02,2023,2022,02-02-2023,EMEA,Germany,Germany,REPC,Casualty,Workers Compensation,Non-Property Facultative,CED0072,Northstar Underwriters,Thackeray Risk Advisors,CM5832,Priya Novak,Retail Casualty,George Simmons,201,Non Trust,Yes,New Business,Inward,224469.8,178761.55,16758.13,18556.52,10393.6,207711.68,0.7964,0.0827,0.879
FIN00019049,2023,Q3,7,2023-07,2023,2021,30-07-2023,Asia,India,India,REPC,P&C Re,Property,Property Treaty,CED0006,Apex Underwriters,Farringdon Risk Partners,CM6096,Yuki O'Connell,Engineering Global,Isabelle Achebe,101,Trust,No,Renewal,Inward,289524.82,181686.13,39165.29,6362.16,62311.24,250359.54,0.6275,0.022,0.6495
FIN00047354,2024,Q2,5,2024-05,2024,2024,11-05-2024,Asia,ANZ,Australia,REPC,Specialty,Aviation,Non-Property Treaty,CED0112,Vanguard Insurance,Blackstone Insurance Brokers,CM7761,Fatima Chen,Marine Cargo,Oscar Bennet,102,Trust,No,Renewal,Outward,80062.33,43823.96,6540.4,6365.81,23332.15,73521.93,0.5474,0.0795,0.6269
FIN00037270,2025,Q2,6,2025-06,2025,2025,06-06-2025,Americas,US,United States,REPC,Specialty,Financial Lines,Direct Insurance,CED0045,Harbor Insurance,Vantage Insurance Brokers,CM3350,Steven Nakagawa,Corporate Property,Christopher Lindberg,102,Trust,No,Cancelled,Inward,54671.81,32815.92,4241.59,2177.07,15437.23,50430.21,0.6002,0.0398,0.6401
FIN00032922,2023,Q2,6,2023-06,2023,2023,01-06-2023,EMEA,Nordics,Sweden,REPC,Property,Environmental,Direct Insurance,CED0029,Falcon Holdings,Chadwick Risk Advisors,CM1990,Amara Wallace,Casualty Excess,William Holloway,102,Non Trust,Yes,Cancelled,Outward,7807.97,5043.05,1325.4,740.85,698.68,6482.57,0.6459,0.0949,0.7408
FIN00041173,2024,Q2,4,2024-04,2023,2023,25-04-2024,Americas,Canada,Canada,REPC,Specialty,Credit & Surety,Non-Property Treaty,CED0036,Global Indemnity,Northgate Insurance Services,CM6905,Mei Hassan,Retail Casualty,Martin Weston,101,Trust,No,Renewal,Inward,787938.28,388867.55,81992.98,90868.7,226209.05,705945.3,0.4935,0.1153,0.6089
FIN00001208,2023,Q4,10,2023-10,2023,2023,19-10-2023,EMEA,France,France,REPC,Specialty,Aviation,Non-Property Facultative,CED0017,Cornerstone Assurance,Fairview Risk Solutions,CM3981,Robert Alvi,Specialty Lines,Grace Salazar,101,Non Trust,No,Renewal,Inward,662222.64,459438.57,73949.34,45157.49,83677.24,588273.3,0.6938,0.0682,0.762
FIN00024592,2025,Q1,3,2025-03,2025,2025,08-03-2025,Asia,Japan,Japan,REPC,Specialty,Cyber,Non-Property Facultative,CED0016,Bridgeport Underwriters,Dunmore Insurance Brokers,CM6174,Hana Bianchi,Liability Excess,Grace Salazar,201,Non Trust,No,Renewal,Inward,475000.88,68705.74,73108.74,23647.61,309538.79,401892.14,0.1446,0.0498,0.1944
FIN00009846,2026,Q3,7,2026-07,2026,2026,24-07-2026,Americas,US,United States,REPC,Property,Construction,Direct Insurance,CED0003,Anchor Underwriters,Vantage Insurance Brokers,CM9638,Steven Park,Liability Excess,William Holloway,102,Trust,No,Renewal,Inward,176408.98,78732.01,15690.07,21065.8,60921.09,160718.91,0.4463,0.1194,0.5657
FIN00047468,2024,Q3,8,2024-08,2024,2024,24-08-2024,Asia,Singapore,Singapore,REPC,Specialty,Trade Credit,Non-Property Treaty,CED0001,Allied Assurance,Castlerock Risk Solutions,CM8283,Michael Lindqvist,Retail Casualty,Anjali Verma,101,Trust,Yes,Renewal,Inward,71074.43,45027.21,10358.03,6940.49,8748.7,60716.4,0.6335,0.0977,0.7312
FIN00033376,2026,Q1,2,2026-02,2026,2026,17-02-2026,Americas,Canada,Canada,REPC,Casualty,Workers Compensation,Direct Insurance,CED0047,Harbor Mutual,Pinnacle Re Solutions,CM3673,Nadia Kowalski,Space & Satellite,William Holloway,101,Non Trust,No,Renewal,Inward,660456.77,488144.42,85011.42,27497.96,59802.97,575445.35,0.7391,0.0416,0.7807
FIN00022791,2025,Q2,4,2025-04,2025,2025,16-04-2025,Asia,Japan,Japan,REPC,P&C Facultative,Construction,Property Facultative,CED0031,Falcon Insurance Group,Vantage Group,CM5590,David Marchetti,Engineering Global,Karen Vasquez,102,Non Trust,Yes,Renewal,Inward,1608097.43,856070.17,249517.6,32616.44,469893.23,1358579.83,0.5323,0.0203,0.5526
FIN00046599,2023,Q1,3,2023-03,2023,2023,30-03-2023,EMEA,UK,United Kingdom,REPC,P&C Re,Engineering,Property Treaty,CED9999,Unknown Cedent,Prescott Insurance Services,CM1396,Steven Nakagawa,Liability Excess,Susanna Ibsen,101,Non Trust,No,Renewal,Outward,1282826.16,773206.93,216196.34,60311.89,233111,1066629.83,0.6027,0.047,0.6498
FIN00009749,2025,Q4,10,2025-10,2025,2025,06-10-2025,Americas,US,United States,REPC,Specialty,Cyber,Direct Insurance,CED0047,Harbor Mutual,Delacroix & Associates,CM5285,Peter Nakamura,Marine Global,Isabelle Achebe,101,Non Trust,No,Renewal,Outward,874756.17,87475.62,125836.91,87285.57,574158.07,748919.26,0.1,0.0998,0.1998
FIN00018536,2026,Q2,6,2026-06,2026,2026,12-06-2026,Asia,China,China,REPC,P&C Re,Energy,Property Treaty,CED0099,Silverline Underwriters,Baymont Risk Solutions,CM1148,Sarah Bauer,Liability Excess,Isabelle Achebe,102,Trust,No,New Business,Inward,486543.77,292199.75,64168.13,47807.95,82367.93,422375.63,0.6006,0.0983,0.6988
FIN00014500,2023,Q4,11,2023-11,2023,2022,11-11-2023,Asia,Korea,South Korea,REPC,Vector,Environmental,Property Treaty,CED0051,Horizon Assurance,Northgate & Associates,CM8541,Steven Nakagawa,Construction,Karen Vasquez,101,Non Trust,No,Renewal,Inward,483365.05,266816.5,35827.36,47474.59,133246.6,447537.69,0.552,0.0982,0.6502
FIN00023817,2023,Q1,3,2023-03,2023,2023,26-03-2023,EMEA,Germany,Germany,REPC,P&C Re,Liability,Non-Property Treaty,CED0003,Anchor Underwriters,Glendale Insurance Brokers,CM6154,Victor Santos,Engineering Global,Susanna Ibsen,101,Non Trust,No,Renewal,Inward,478913.51,279121.47,69499.11,21794.36,108498.57,409414.4,0.5828,0.0455,0.6283
FIN00015303,2025,Q2,6,2025-06,2025,2025,12-06-2025,Asia,Singapore,Singapore,REPC,Specialty,Trade Credit,Direct Insurance,CED0011,bridgeport assurance,Blackstone Insurance Services,CM2359,Steven Nakagawa,Property Cat,George Simmons,101,Non Trust,No,New Business,Inward,414840.18,196095.78,86609.31,22007.23,110127.85,328230.87,0.4727,0.053,0.5258
FIN00007601,2025,Q2,4,2025-04,2025,2025,15-04-2025,Americas,US,United States,REPC,Property,Property,Direct Insurance,CED0052,Horizon General Insurance,Vantage Risk Solutions,CM6511,Michael Nkosi,Corporate Property,Grace Salazar,102,Non Trust,No,Renewal,Inward,418005.72,221528.69,85180.26,14028.55,97268.21,332825.45,0.53,0.0336,0.5635
FIN00049331,2025,Q1,3,2025-03,2025,2024,24-03-2025,EMEA,Spain,Spain,REPC,Specialty,Cyber,Direct Insurance,CED0033,Fortress Casualty,Prescott Risk Partners,CM3964,Hana Bianchi,Property Cat,Karen Vasquez,201,Trust,Yes,New Business,Inward,322960.63,87657.53,53133.46,23497.38,158672.27,269827.17,0.2714,0.0728,0.3442
FIN00035117,2023,Q3,9,2023-09,2022,2022,30-09-2023,EMEA,Nordics,Sweden,REPC,Property,Environmental,Direct Insurance,CED0072,Northstar Underwriters,cornerstone risk advisors,CM6313,Fatima Chen,Marine Cargo,Richard Thornton,101,Non Trust,No,Renewal,Inward,59730.41,29091.52,7530.44,2605.05,20503.4,52199.97,0.487,0.0436,0.5307
FIN00014969,2025,Q3,7,2025-07,2025,2023,29-07-2025,Americas,Canada,Canada,REPC,Vector,Political Risk,Non-Property Treaty,CED0048,Highland Assurance,Pinnacle Risk Partners,CM2838,James Chen,Marine Cargo,Christopher Lindberg,101,Trust,No,Renewal,Inward,71707.2,40789.06,5385.73,7988.48,17543.93,66321.47,0.5688,0.1114,0.6802
FIN00040703,2023,Q1,1,2023-01,2023,2023,24-01-2023,EMEA,Germany,Germany,REPC,Specialty,Political Risk,Direct Insurance,CED0115,Westfield Insurance Group,Yorkshire Risk Advisors,CM3613,Sarah O'Connell,Environmental Risk,Richard Thornton,101,Trust,No,New Business,Inward,172843.35,74205.09,28791.47,14625.51,55221.28,144051.89,0.4293,0.0846,0.5139
FIN00047331,2025,Q2,5,2025-05,2024,2024,04-05-2025,Asia,Hong Kong,Hong Kong,REPC,Property,Engineering,Property Treaty,CED0093,Riverside General Insurance,Pinnacle Re Solutions,CM6750,Kevin Iversen,Marine Global,Monica Petrov,101,Trust,No,Renewal,Inward,996732.23,581072.56,155698.03,43521.05,216440.59,841034.2,0.583,0.0437,0.6266
FIN00011694,2026,Q1,2,2026-02,2026,2026,06-02-2026,Asia,ANZ,Australia,REPC,Casualty,Accident & Health,Direct Insurance,CED0031,Falcon Insurance Group,Vantage Risk Solutions,CM2778,Brian Lindqvist,Construction & Engineering EMEA,Monica Petrov,101,Trust,No,New Business,Inward,315623.64,143755.89,23630.2,12055.67,136181.87,291993.43,0.4555,0.0382,0.4937
FIN00043235,2025,Q4,12,2025-12,2025,2025,21-12-2025,Asia,Korea,South Korea,REPC,Specialty,Trade Credit,Non-Property Facultative,CED0060,Liberty Insurance,Radcliffe Group,CM9810,Laura Nkosi,Trade Credit & Surety,Frank Callahan,102,Non Trust,No,Renewal,Inward,493963.85,270847.07,103979.3,56729.72,62407.76,389984.55,0.5483,0.1148,0.6632
FIN00016333,2025,Q3,8,2025-08,2025,2025,07-08-2025,Americas,US,United States,REPC,Casualty,Motor,Direct Insurance,CED0027,Evergreen Holdings,Baymont Risk Solutions,CM9578,Yuki O'Connell,Property Cat,George Simmons,101,Non Trust,No,Renewal,Outward,134504.34,118412.94,29533.58,8941.96,-22384.14,104970.75,0.8804,0.0665,0.9468
FIN00038429,2023,Q2,6,2023-06,2023,2022,30-06-2023,Asia,ANZ,Australia,REPC,Casualty,Workers Compensation,Non-Property Treaty,CED0031,Falcon Insurance Group,Yorkshire Risk Advisors,CM1220,Robert Alvi,Specialty Lines,Karen Vasquez,101,,No,Renewal,Outward,3154651.47,1918953.14,320757.65,215147.33,699793.35,2833893.81,0.6083,0.0682,0.6765
FIN00032283,2026,Q3,7,2026-07,2026,2026,01-07-2026,Americas,Canada,Canada,REPC,Vector,Agriculture,Non-Property Treaty,CED0114,Westfield Holdings,Pinnacle Risk Advisors,CM9375,Priya Novak,Property Treaty Americas,Anjali Verma,102,Trust,No,New Business,Inward,223028.73,125538.03,30602.24,17508.52,49379.94,192426.49,0.5629,0.0785,0.6414
FIN00029199,2023,Q3,7,2023-07,2023,2023,16-07-2023,EMEA,Italy,Italy,REPC,Property,Energy,Direct Insurance,CED0091,Redwood Insurance Group,Baymont Risk Solutions,CM2431,Yuki Marchetti,Marine Global,Richard Thornton,101,Non Trust,No,Renewal,Inward,990818.78,534951.76,109144.94,48209.5,298512.58,881673.84,0.5399,0.0487,0.5886
FIN00018812,2025,Q2,4,2025-04,2025,2024,15-04-2025,Americas,US,United States,REPC,Casualty,Liability,Direct Insurance,CED0040,Granite Insurance,Delacroix & Associates,CM2818,Fatima Chen,Political & Credit Risk,Monica Petrov,201,Trust,No,New Business,Outward,1338159.48,1062615.76,107771.07,100397.95,67374.7,1230388.41,0.7941,0.075,0.8691
FIN00028391,2024,Q1,2,2024-02,2024,2023,01-02-2024,Asia,Korea,South Korea,REPC,P&C Facultative,Energy,Property Facultative,CED0025,Delta Indemnity,Blackstone Insurance Brokers,CM3109,Brian Lindqvist,Engineering Global,Susanna Ibsen,101,Non Trust,No,Renewal,Outward,878617.9,227448.93,88923.53,23240.64,539004.8,789694.38,0.2589,0.0265,0.2853
FIN00040558,2024,Q1,1,2024-01,2024,2024,18-01-2024,EMEA,Germany,Germany,REPC,P&C Facultative,Construction,Property Facultative,CED0119,Zenith Insurance Group,Chadwick Risk Advisors,CM2530,James Chen,Property Cat,Grace Salazar,102,Trust,No,Renewal,Outward,522067.79,220957.86,88054.68,40993.92,172061.33,434013.11,0.4232,0.0785,0.5018
FIN00021093,2024,Q2,6,2024-06,2024,2023,10-06-2024,EMEA,Italy,Italy,REPC,Property,Engineering,Direct Insurance,CED0086,Prime Insurance,Prescott Insurance Services,CM8128,Marcus Lindqvist,Workers Comp National,Anjali Verma,101,Non Trust,Yes,Renewal,Inward,3191452,2287214.44,654668.41,295002.07,-45432.92,2536783.59,0.7167,0.0924,0.8091
FIN00010330,2023,Q1,2,2023-02,2023,2023,20-02-2023,EMEA,Middle East,United Arab Emirates,REPC,Casualty,Motor,Direct Insurance,CED0078,Paramount General Insurance,Farringdon Risk Partners,CM7756,Sarah Bauer,Specialty Lines,Frank Callahan,101,Non Trust,Yes,Renewal,Inward,728055.41,594516.59,103197.74,40083.82,-9742.73,624857.68,0.8166,0.0551,0.8716
FIN00033136,2024,Q2,5,2024-05,2023,2022,05-05-2024,EMEA,France,France,REPC,Specialty,Credit & Surety,Non-Property Treaty,CED0049,Highland Insurance,Grayson & Associates,CM3556,Sarah O'Connell,Engineering Global,Martin Weston,101,,No,Renewal,Inward,840228.55,407892.63,115111.9,43959.82,273264.2,725116.66,0.4855,0.0523,0.5378
FIN00005638,2024,Q3,9,2024-09,2023,2021,10-09-2024,EMEA,UK,United Kingdom,REPC,Casualty,Workers Compensation,Direct Insurance,CED0063,Lonestar Indemnity,Ashford & Associates,CM3505,,Space & Satellite,Renata Moreau,101,Non Trust,No,New Business,Outward,682751.6,350746.1,146628.05,68662.28,116715.17,536123.55,0.5137,0.1006,0.6143
FIN00010198,2024,Q3,9,2024-09,2024,2024,30-09-2024,Asia,Singapore,Singapore,REPC,Casualty,Accident & Health,Non-Property Facultative,CED0014,Bridgeport Insurance Group,Grayson & Associates,CM1712,James Chen,Casualty Excess,Anjali Verma,102,Trust,Yes,Renewal,Inward,795271.44,614407.33,52885.31,51534.16,76444.62,742386.12,0.7726,0.0648,0.8374
FIN00003517,2023,Q2,6,2023-06,2023,2022,13-06-2023,Asia,India,India,REPC,Property,Property,Direct Insurance,CED0119,Zenith Insurance Group,Farringdon Risk Partners,CM6203,Kevin Iversen,Energy APAC,Henry Cartwright,102,Trust,No,Renewal,Inward,1733241.02,803046.17,306802.8,180305.06,443086.99,1426438.22,0.4633,0.104,0.5673
FIN00030176,2024,Q1,1,2024-01,2024,2024,24-01-2024,Americas,Canada,Canada,REPC,Property,Energy,Property Facultative,CED0103,Summit Casualty,Pinnacle Re Solutions,CM2341,Priya Nakagawa,Cyber Risk,Martin Weston,101,Non Trust,No,Renewal,Inward,351239.81,332681.23,55819.41,21491.25,-58752.07,295420.4,0.9472,0.0612,1.0083
FIN00031085,2025,Q2,6,2025-06,2025,2024,20-06-2025,EMEA,Spain,Spain,REPC,Casualty,Motor,Non-Property Treaty,CED0012,Bridgeport General Insurance,Fenwick & Associates,CM8217,Michael Lindqvist,Construction & Engineering EMEA,Isabelle Achebe,101,Trust,No,Renewal,Inward,134495.2,94187.48,23138.38,11738.03,5431.31,111356.82,0.7003,0.0873,0.7876
FIN00039183,2025,Q3,7,2025-07,2024,2024,11-07-2025,Asia,China,China,REPC,P&C Re,Liability,Non-Property Treaty,CED0043,Harbor Assurance,Fairview Risk Solutions,CM9202,Sarah O'Connell,Energy Upstream,Anjali Verma,101,Non Trust,No,Renewal,Inward,50000,31059.59,8068.94,2131.71,8739.77,41931.06,0.6212,0.0426,0.6638
FIN00037251,2026,Q2,5,2026-05,2026,2026,22-05-2026,EMEA,Germany,Germany,REPC,P&C Re,Liability,Non-Property Treaty,CED0078,Paramount General Insurance,Pinnacle Risk Advisors,CM6564,Peter Nakamura,Marine Global,Isabelle Achebe,101,Trust,Yes,Renewal,Inward,286397.91,222321.46,50406.42,6716.87,6953.17,235991.5,0.7763,0.0235,0.7997
FIN00018069,2024,Q3,9,2024-09,2024,2024,12-09-2024,Asia,India,India,REPC,P&C Re,Workers Compensation,Non-Property Treaty,CED0056,Keystone Insurance,Fenwick & Associates,CM6665,Amara Wallace,Marine Global,Monica Petrov,101,Non Trust,Yes,Renewal,Inward,341437.42,226288.95,35052.22,23009.09,57087.16,306385.2,0.6628,0.0674,0.7301
FIN00018442,2025,Q2,6,2025-06,2025,2025,26-06-2025,Americas,US,United States,REPC,Specialty,Space,Direct Insurance,CED0044,Harbor Indemnity,Pinnacle Risk Partners,CM1936,James Chen,Specialty Lines,Susanna Ibsen,101,Trust,Yes,New Business,Inward,363246.16,187386.26,61275.14,39446.01,75138.75,301971.02,0.5159,0.1086,0.6245
FIN00048128,2023,Q1,2,2023-02,2022,2022,02-02-2023,Asia,Japan,Japan,REPC,Specialty,Surety,Direct Insurance,CED0076,Paramount Assurance  ,Baymont Risk Partners,CM9206,Nadia Kowalski,Construction,Karen Vasquez,102,Trust,Yes,Renewal,Inward,575366.93,235650.71,30779.62,42260.17,266676.43,544587.31,0.4096,0.0734,0.483
FIN00046052,2024,Q2,4,2024-04,2023,2023,04-04-2024,Americas,Canada,Canada,REPC,Property,Environmental,Property Facultative,CED0004,Apex Indemnity,Prescott Risk Partners,CM8498,David Marchetti,Environmental Risk,Susanna Ibsen,102,Trust,No,New Business,Inward,1277567.28,31824886.58,121809.22,120949.68,-30790078.21,1155758.06,24.9105,0.0947,25.0052
FIN00025720,2025,Q1,3,2025-03,2025,2025,28-03-2025,EMEA,France,France,REPC,Vector,Political Risk,Direct Insurance,CED0018,Cornerstone Holdings,Vantage Group,CM6631,Amara Wallace,Specialty Lines,Oscar Bennet,101,Trust,No,Renewal,Inward,80599.63,36781.12,13100.57,2882.78,27835.16,67499.06,0.4563,0.0358,0.4921
FIN00017814,2023,Q1,2,2023-02,2022,2022,13-02-2023,Asia,Japan,Japan,REPC,P&C Re,Energy,Property Treaty,CED0104,summit re,Northgate & Associates,CM3730,Priya Wallace,Motor Fleet,Renata Moreau,101,,No,New Business,Inward,956737.84,521896.51,151928.64,57764.99,225147.7,804809.21,0.5455,0.0604,0.6059
FIN00024205,2023,Q4,10,2023-10,2022,2022,29-10-2023,Asia,Korea,South Korea,REPC,Property,Construction,Property Facultative,CED0049,Highland Insurance,Vantage Insurance Services,CM3417,Laura Nkosi,Marine Cargo,Isabelle Achebe,101,Non Trust,No,Renewal,Inward,237268.42,148384.62,33037.65,16354.71,39491.44,204230.77,0.6254,0.0689,0.6943
FIN00025075,2025,Q3,9,2025-09,2025,2024,28-09-2025,Asia,Korea,South Korea,REPC,Property,Construction,Direct Insurance,CED0084,Pinnacle Mutual,Prescott Risk Partners,CM9414,Sarah O'Connell,Property Cat,Martin Weston,101,Trust,No,Renewal,Outward,239297.54,121540.91,42518.51,23803.1,51435.03,196779.03,0.5079,0.0995,0.6074
FIN00006761,2023,Q1,2,2023-02,2023,2022,01-02-2023,EMEA,Germany,Germany,REPC,Specialty,Marine,Direct Insurance,CED0104,Summit Re,Blackstone Insurance Brokers,CM6344,Michael Lindqvist,Specialty Lines,Susanna Ibsen,102,Trust,No,Renewal,Inward,73488.24,38054.32,6151.84,6880.22,22401.87,67336.41,0.5178,0.0936,0.6115
FIN00024809,2026,Q2,4,2026-04,2026,2026,22-04-2026,Americas,US,United States,REPC,Casualty,Accident & Health,Direct Insurance,CED0058,Landmark Indemnity,Fairview Risk Solutions,CM4594,Nadia Kowalski,Trade Credit & Surety,Christopher Lindberg,201,Trust,No,Renewal,Inward,232698.95,207068.45,18264.51,10990.91,-3624.92,214434.44,0.8899,0.0472,0.9371
FIN00008722,2026,Q1,2,2026-02,2025,2025,16-02-2026,Asia,Japan,Japan,REPC,Specialty,Trade Credit,Direct Insurance,CED0021,Crown Holdings,Lockwood Risk Partners,CM4007,Fatima Costa,Property Treaty Americas,Oscar Bennet,101,Non Trust,No,Renewal,Inward,183488.05,97485.03,36356.27,21204.16,28442.6,147131.79,0.5313,0.1156,0.6468
FIN00003882,2025,Q1,1,2025-01,2025,2025,25-01-2025,Americas,US,United States,REPC,P&C Re,Workers Compensation,Non-Property Treaty,CED0040,Granite Insurance,Grayson Risk Solutions,CM1096,Michael Nkosi,Trade Credit & Surety,Grace Salazar,101,Non Trust,No,Renewal,Inward,442000.99,252876.94,86835.2,9544.88,92743.98,355165.79,0.5721,0.0216,0.5937
FIN00002000,2026,Q1,2,2026-02,2026,2026,21-02-2026,EMEA,France,France,REPC,P&C Facultative,Property,Property Facultative,CED0082,Pinnacle Indemnity,Grayson Risk Solutions,CM1676,Laura Nkosi,Environmental Risk,Christopher Lindberg,201,Trust,No,Renewal,Inward,466206.2,247139.79,40584.53,41505.87,136976.01,425621.67,0.5301,0.089,0.6191
FIN00038095,2026,Q1,2,2026-02,2026,2025,11-02-2026,Americas,US,United States,REPC,Casualty,Workers Compensation,Direct Insurance,CED0014,Bridgeport Insurance Group,Delacroix & Associates,CM1679,Steven Park,Energy APAC,George Simmons,201,Non Trust,No,Renewal,Inward,725369.89,587689.96,130450.7,25167.81,-17938.58,594919.19,0.8102,0.0347,0.8449
FIN00027295,2024,Q1,2,2024-02,2024,2022,01-02-2024,EMEA,France,France,REPC,P&C Re,Property,Property Treaty,CED0040,Granite Insurance,Pinnacle Risk Partners,CM8570,Yuki Marchetti,Political & Credit Risk,Renata Moreau,101,Non Trust,Yes,Renewal,Inward,548275.6,404936.39,67669.37,18572.81,57097.02,480606.23,0.7386,0.0339,0.7724
FIN00025136,2023,Q4,11,2023-11,2023,2023,09-11-2023,Asia,Japan,Japan,REPC,Property,Property,Direct Insurance,CED0099,Silverline Underwriters,Blackstone Insurance Services,CM6142,Robert Alvi,Energy Upstream,Karen Vasquez,101,Trust,No,New Business,Inward,153580.4,101903.91,11181.7,15320.44,25174.35,142398.7,0.6635,0.0998,0.7633
FIN00031445,2026,Q1,3,2026-03,2025,2025,24-03-2026,EMEA,Middle East,United Arab Emirates,REPC,P&C Facultative,Construction,Property Facultative,CED0065,Meadowbrook Holdings,Lockwood Risk Solutions,CM8341,Yuki O'Connell,Liability Excess,Richard Thornton,101,Trust,No,New Business,Inward,248178.47,152870.54,30474.55,23937.44,40895.94,217703.92,0.616,0.0965,0.7124
FIN00005059,2025,Q1,2,2025-02,2025,2025,23-02-2025,Americas,US,United States,REPC,P&C Facultative,Energy,Property Facultative,CED0031,Falcon Insurance Group,Prescott Risk Partners,CM4669,Fatima Costa,Aviation,Richard Thornton,101,Trust,Yes,Renewal,Outward,1249780.11,1080517.8,108253.45,34358.69,26650.17,1141526.66,0.8646,0.0275,0.8921
